DAY,ENVIRONMENT,CONTRACT_ADDRESS,INTERACTIONS
2024-06-12 00:00:00.000,EVM,0x8d5261cff8d63e71c772574eba63e64e6726ee06,1366
2024-06-26 00:00:00.000,EVM,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,1307
2024-06-26 00:00:00.000,EVM,0x3c2269811836af69497e5f486a85d7316753cf62,1292
2024-06-12 00:00:00.000,EVM,0xc75c669a62a7ece0c8d37904b747970467432ad3,1276
2024-06-12 00:00:00.000,EVM,0x0000000000000000000000000000000000001001,1209
2024-06-12 00:00:00.000,EVM,0x4a4d9abd36f923cba0af62a39c01dec2944fb638,1207
2024-07-24 00:00:00.000,EVM,0x3c2269811836af69497e5f486a85d7316753cf62,1127
2024-06-26 00:00:00.000,EVM,0x4a4d9abd36f923cba0af62a39c01dec2944fb638,1112
2024-07-10 00:00:00.000,EVM,0xca5021bf2514e5cdacf46870c2953b7771f2d552,1104
2024-05-29 00:00:00.000,EVM,0x0000000000000000000000000000000000001007,997
2024-07-10 00:00:00.000,EVM,0xa6ffa83413b8d3a93f1446eb794ef72f1a8d16f8,960
2024-07-10 00:00:00.000,EVM,0xfb43069f6d0473b85686a85f4ce4fc1fd8f00875,920
2024-06-12 00:00:00.000,EVM,0x79828044c306dd3ae60db03cb56309883f74100b,893
2024-07-24 00:00:00.000,EVM,0xfb43069f6d0473b85686a85f4ce4fc1fd8f00875,866
2024-07-24 00:00:00.000,EVM,0xecd87973d8b94d3afd97a2ce5b7808400aaa7534,823
2024-07-10 00:00:00.000,EVM,0xe60145b2b9c94186f16072db6d327e91ce18b96a,794
2024-07-24 00:00:00.000,EVM,0xc3da629c518404860c8893a66ce3bb2e16bea6ec,770
2024-07-10 00:00:00.000,EVM,0x74aa6977536f498c5ad4f30c02718c6c1988a112,732
2024-07-10 00:00:00.000,EVM,0x4a4d9abd36f923cba0af62a39c01dec2944fb638,702
2024-05-29 00:00:00.000,EVM,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,685
2024-07-24 00:00:00.000,CosmWasm,1758D9D9F2DE843082637FEF010821FAD6858AEE54354125FAB07DE4AAA1A905,684
2024-07-24 00:00:00.000,EVM,0xa6ffa83413b8d3a93f1446eb794ef72f1a8d16f8,669
2024-07-10 00:00:00.000,EVM,0xbc096b6a7d5404de916b3333ad223a1b32eec8aa,634
2024-05-29 00:00:00.000,EVM,0x0000000000000000000000000000000000001005,632
2024-06-26 00:00:00.000,EVM,0xfb43069f6d0473b85686a85f4ce4fc1fd8f00875,613
